대장아이디,시군구,읍면동,리,지번,기타지번,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,취약지역유형,지정면적_제곱미터,대피장소,취약지역지정사유,지정일,"지정등급_A,B,C,D"
1,창원시 마산합포구,완월동,,산103,,35,12,2.37,128,33,6.648,토석류,880,성지여고,집중호우에 의한 계류내 토석 및 산지내 토사가 유실되어 하부 인가 및 경작지 피해가 우려됨,2014-06-18,
2,창원시 마산회원구,내서읍,신감리,1409-4,,35,11,37.199,128,29,46.1,토석류,400,로뎀전원교회,계류 상부에 전석류가 발생되어 침식이 진행되고 있는 실정으로 집중호우시 하부 피해가 예상됨,2013-07-02,
3,창원시 마산회원구,두척동,,산86-2,,35,14,20.722,128,32,55.272,산사태,325,두척마을회관,"인가와 매우 인접한 사면으로 임상 내 침식, 표층유실, 지반변형과 같은 잠재적인 위험요소 작용으로 하부 생활권 피해 우려됨",2019-06-24,
4,창원시 진해구,태백동,,산52-3,,35,9,31,128,40,22,산사태,125,경화초등학교,"본 대상지는 사찰과 인접해 있으며, 사면으로 낙석이 관찰되고 있어 호우 시 피해가 우려됨",2019-06-24,
5,창원시 성산구,사파정동,,산27,,35,13,23,128,42,40,토석류,452,창원사파고등학교,"계류경사가 급하고, 소규모 전석이 다수 분포하고 있음. 또한 토사석력의 이동으로 재산피해가 발생되고 있다는 주민제기지역임.",2020-08-20,
6,창원시 성산구,불모산동,,산174,,35,11,6,128,43,41,토석류,654,삼정자초등학교,"침식붕괴로 계류황폐화가 가속화 되고 있으며, 계류 인근의 주택지에 피해가 우려되는 상황으로 취약지역으로의 선정이 필요함.",2020-08-20,
7,창원시 의창구,북면,월계리,산36-1,Jan-78,35,21,40,128,38,12,토석류,334,월계리마을회관,"경작지와 연접한 계류부의 침식과 포락으로 인해 농지가 상당 유실되었으며, 직하부에 인가가 위치하고 있어 직접적인 피해가 우려됨.",2020-08-20,
8,창원시 의창구,북면,무곡리,1087-1,,35,19,49,128,34,49,토석류,1005,무동초등학교,"지속적인 침식과 포락으로 농경지가 유실되고 있고, 예방시설이 없어 추가피해가 예상됨에 따라 취약지역으로의 선정을 제안함.",2020-08-20,
9,창원시 마산회원구,두척동,,산89,,35,14,26.334,128,33,4.128,산사태,4126,송정마을회관,"산지 비탈면이 붕락되어 삼호천으로의 지속적인 토사석이 유입되며, 또한 붕괴 확대가 우려되는 지역임.",2020-08-20,
10,창원시 마산회원구,내서읍,삼계리,산293,,35,14,31,128,28,45.5,토석류,406,안계마을회관,"좌, 우측 침식이 발달하여 계류 바닥부에 토석이 다량 적치된 상태이고, 계류 내 유목 및 전석 등이 관측되어 취약지역으로의 선정을 제안함.",2020-08-20,
11,창원시 마산회원구,내서읍,평성리,산58,,35,15,23.256,128,31,56.107,토석류,1504,평성마을회관,"좌측 침식이 발달하였으며, 계류 내 유목 및 고사목 등이 다량 적치된 상태이므로 취약지역으로의 선정을 제안함.",2020-08-20,
12,창원시 마산회원구,회원동,,산50-6,1139답,35,13,18.126,128,33,15.49,토석류,416,교동초등학교,"뜬돌 및 전석이 다량 존재하고 있으며, 계류 내 침식이 관측되므로 취약지역으로의 선정을 제안함.",2020-08-20,
13,창원시 마산회원구,내서읍,감천리,산268,"1351천, 산83임",35,12,35.197,128,31,6.749,토석류,2200,감천초등학교,유역이 길고 유역내 경사가 급하며 토석류 발생위험이 높아 계류 정비가 필요함,2013-07-02,
14,창원시 마산회원구,합성동,,산109-2,,35,15,10.507,128,34,37.884,토석류,1700000,합성초등학교,유역이 길고 유역내 1등급 산사태 위험지가 있어 사방댐 추가 필요,2013-07-02,
15,창원시 의창구,동읍,봉산리,산122-3,,35,16,26.999,128,41,20.2,토석류,1140,창덕중학교,"하부계류보전이 되어 있으나, 계상에 자갈 및 모래가 적치되어 있고, 30m지점 유목이 다수 분포하고 있어 산사태 발생 우려지역으로 선정하여야 할 것으로 생각됨",2015-06-29,
16,창원시 마산합포구,진전면,일암리,산86,,35,6,57.099,128,21,34,토석류,0,대방마을회관,"계류상부로 진입시 자갈 및 모래, 전석, 유송잡물이 관찰되어 퇴적물의 토석류화 가능성이 우려됨에 따라 사방시설물의 설치로 피해를 예방하여야 할 것으로 사료되어 산사태 발생 우려지역으로 선정해야 한다고 판단됨",2015-06-29,
17,창원시 의창구,퇴촌동,,산24-2,,35,15,10.699,128,41,15.4,토석류,296,경남장애인종합복지관,골막이 파손되어 있으며 양안으로 붕괴되어 있으며 계상에 퇴적물 다수 적치되어 있어 토석류 또는 산사태 발생이 우려되므로 산사태취약지역으로 선정되어야 할 것으로 사료됨.,2015-06-29,
18,창원시 마산합포구,진동면,교동리,산94-1,,35,7,5.999,128,30,42.5,토석류,1250,교동마을회관,"본 조사계류내에 전석보다 작은 뜬돌들이 다수 적치된 상태이며, 유목 및 유송잡물이 확인되어 산사태 발생 우려지역으로 선정해야 할 것으로 판단됨",2015-06-29,
19,창원시 의창구,동읍,봉곡리,산61-2,,35,20,10.599,128,38,42.9,산사태,3640,봉곡마을회관,사면에서 균열 및 함몰이 발달된 것으로 확인됨. 일부 균열의 확장에 의한 사면 붕괴가 우려되는 상황으로 본 대상지를 취약지역으로 선정함,2015-06-29,
20,창원시 진해구,장천동,,산1-300,,35,7,56.299,128,43,25.2,토석류,1653,진해시청소년수련원,계류 상부로 갈수록 급경사를 이루고 있으며 계상에 퇴적물이 다수 존재하므로 강우시 토석류로 발전될 시 하부 인가에 피해를 줄 수 있으므로 산사태 발생 우려지역으로 선정하여야 할 것으로 판단됨,2015-06-29,
21,창원시 의창구,북면,신촌리,산228,,35,20,21.499,128,36,32.8,산사태,1418,신리마을회관,강우시 인가와 연접한 사면에서의 토사유실로 인한 하부에 위치한 인가의 직접적인 피해가 예상되는 바 산사태 발생 우려지역으로 선정해야할 것으로 사료됨,2015-06-29,
22,창원시 마산회원구,내서읍,중리,산166,,35,14,28.199,128,30,39.7,토석류,3565,내서119안전센터,중간부 재각 진입로가 횡단하며 월류가 발생하고 있고 지류가 합류하며 침식이 진행중으로 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-29,
23,창원시 마산회원구,내서읍,신감리,산30,,35,12,53.099,128,30,10.5,토석류,2001,광려중학교,"용수, 월류에 의해 본류 우측 등산(小)로로 새로운 골짜기를 형성하며 그 폭이 확장되고 있어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-29,
